Type of Event,Event Details,Event Date,Apply Closing Date,Link,Closing Date for Apply,Closing Time for Apply,Event Start Date,Event End Date,location,latitude,longitude
"Gandhi Shilp Bazar National, States, District",GSB(District)-Kolhapur,22/12/2024 to 28/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzcx,2024-11-20,23:45:00,2024-12-22,2024-12-28,Kolhapur,16.706369,74.2481772
"Gandhi Shilp Bazar National, States, District",GSB(District)-Ajmer UH,22/12/2024 to 28/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzgz,2024-11-20,23:45:00,2024-12-22,2024-12-28,Ajmer UH,26.4498954,74.6399163
"Gandhi Shilp Bazar National, States, District",GSB(District)-Indore UH,20/12/2024 to 26/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzg1,2024-11-20,23:45:00,2024-12-20,2024-12-26,Indore UH,22.7195687,75.8577258
"Gandhi Shilp Bazar National, States, District",GSB(State)-Udaipur,22/12/2024 to 31/12/2024,2024-11-20 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mzk1,2024-11-20,23:45:00,2024-12-22,2024-12-31,Udaipur,24.585445,73.712479
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazar_testing,20/11/2024 to 30/11/2024,2024-11-20 14:45:00,https://indian.handicrafts.gov.in/en/events/view/NDAz,2024-11-20,14:45:00,2024-11-20,2024-11-30,,18.7874192,100.7762883
"Gandhi Shilp Bazar National, States, District",GSB(District)-Bhatinda,15/12/2024 to 21/12/2024,2024-11-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzU1,2024-11-15,23:45:00,2024-12-15,2024-12-21,Bhatinda,30.210994,74.9454745
"Gandhi Shilp Bazar National, States, District",GSB(State)-Ranchi,13/12/2024 to 22/12/2024,2024-11-15 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzY3,2024-11-15,23:45:00,2024-12-13,2024-12-22,Ranchi,23.3440997,85.309562
"Gandhi Shilp Bazar National, States, District",test_2,14/11/2024 to 15/11/2024,2024-11-14 15:15:00,https://indian.handicrafts.gov.in/en/events/view/NDAx,2024-11-14,15:15:00,2024-11-14,2024-11-15,,18.7874192,100.7762883
"Gandhi Shilp Bazar National, States, District",GSB (National)- Guwahati,10/12/2024 to 19/12/2024,2024-11-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mjc3,2024-11-10,23:45:00,2024-12-10,2024-12-19,Guwahati,26.1157917,91.7085933
"Gandhi Shilp Bazar National, States, District",GSB(District)-Konark UH,18/12/2024 to 24/12/2024,2024-11-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/Mjk1,2024-11-10,23:45:00,2024-12-18,2024-12-24,Konark UH,19.8920686,86.091184
"Gandhi Shilp Bazar National, States, District",GSB(State)-Madurai,13/12/2024 to 22/12/2024,2024-11-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzM0,2024-11-10,23:45:00,2024-12-13,2024-12-22,Madurai,9.9252007,78.1197754
"Gandhi Shilp Bazar National, States, District",GSB(District)-Mon,11/12/2024 to 17/12/2024,2024-11-10 23:45:00,https://indian.handicrafts.gov.in/en/events/view/MzUy,2024-11-10,23:45:00,2024-12-11,2024-12-17,Mon,41.9937012,21.4238337
